"","h","n","RWwD","AR","Plasso_NT_121_Predictors","Slasso_NT_121_Predictors","Plasso_ST_121_Predictors","Slasso_ST_121_Predictors","Plasso_NT_504_Predictors","Slasso_NT_504_Predictors","Plasso_ST_504_Predictors","Slasso_ST_504_Predictors"
"2000-2009",1,240,0.168760048590887,0.145428011267478,0.663466296611431,0.147202633613091,0.658788524676362,0.626348514416028,0.504238611559797,0.121517445242694,0.236378887446988,0.12216323817872
"2000-2009",1,360,0.168674732549406,0.140653029012821,0.387852641985282,0.160365625651135,3.05319838086359,3.1860857818166,0.48519554428334,0.122184133033456,0.196613825476917,0.122699680922848
"2000-2009",2,120,0.281777799296081,0.23701987233064,0.575812525667214,0.209778879637078,1.03733607694679,0.497828610153186,0.45856484704438,0.188385556105497,0.699813945565293,0.225396594270645
"2000-2009",2,240,0.282751709385611,0.219364569175304,1.10508910801822,0.172984466774845,0.678654120248011,0.634585437620989,0.854226440515342,0.161601055332547,0.281762940103249,0.17408547294428
"2000-2009",2,360,0.282364547477234,0.212155028507524,0.515422163071892,0.202333464375003,0.750508021247548,2.52546022906541,0.481013210558561,0.185782828188581,0.269268193354395,0.174300116125956
"2000-2009",3,120,0.398564505212724,0.333025285293682,0.652402043616672,0.317845938913114,1.04892346480571,0.509796201243184,0.599759294329293,0.311288398086849,0.717787211917565,0.313288561474317
"2000-2009",3,240,0.400221695902864,0.304715703898354,0.709033792334471,0.292314375464659,0.678970151990519,0.605733816943978,1.17437304907244,0.31112029152524,0.310185263022761,0.212440944068439
"2000-2009",3,360,0.399496573239676,0.292505211385936,0.555273927643984,0.251011347405347,0.737867446188245,1.78954994938895,0.511042081350517,0.231015388757571,0.334289602448756,0.22831285465527
"2010-2019",1,120,0.150539824316708,0.16041983259169,0.902124019309603,0.147153798687742,1.03817222233398,0.623456896715386,0.85111702182568,0.147129467104058,0.40846269584105,0.15097578167905
"2010-2019",1,240,0.150187917106832,0.162571684930003,0.805565264929364,0.141830925507804,0.56739612764764,0.567972920723292,1.10602042309071,0.132972331575176,0.278175952790671,0.144656164045015
"2010-2019",1,360,0.149365784825065,0.151210158892127,0.778595004053019,0.132295434444113,0.833799239354778,0.747907234900484,1.01532071740563,0.130894797096324,0.198835365302825,0.145782003604304
"2010-2019",2,120,0.207682293033617,0.220874488269039,0.926219641327198,0.196560622646921,0.993342210947132,0.641064136224812,0.910954636877033,0.194227690016123,0.591958593954657,0.200191703334982
"2010-2019",2,240,0.206595675710053,0.20956496935744,0.855334495603853,0.179722895690839,0.553663636850903,0.581823865146366,1.12842984425371,0.168501587099525,0.35215402299077,0.179751093675152
"2010-2019",2,360,0.204382622829131,0.197475444842017,0.860566669630233,0.178414740606963,0.825300663756796,0.761947282270589,1.0469566399517,0.163403205361342,0.250012090952679,0.184527831822576
"2010-2019",3,120,0.258683950520191,0.273909916025795,0.964309788037346,0.248700598687646,1.09579945377741,0.69438018448862,0.972919016563205,0.24879890022188,0.83906964871672,0.246158376586598
"2010-2019",3,240,0.256726727054356,0.248430247498605,0.961640741538528,0.207696048146377,0.582891266472828,0.635587562855893,1.16751240009807,0.20863782433873,0.501786025935921,0.213313292898582
"2010-2019",3,360,0.252630636233147,0.239644652902299,0.928361113815415,0.206035331839837,0.829174321892897,0.773396335007038,1.09194367129591,0.199861703806622,0.334524504213315,0.224755674584801
